loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,thisRow.t,notes,guidelines.started,text.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,find_1.started,text_2.started,find_image_1.started,key_resp_2.started,find_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,baseline_sa.started,subtle_anger.started,n_1.started,n_2.started,n_3.started,n_4.started,n_5.started,n_6.started,mouse_resp.started,fix_1.started,baseline_sa.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.corr,mouse_resp.clicked_name,main_sa.started,subtle_anger_main.started,mouse_resp_4.started,d_1.started,d_2.started,d_3.started,s_1.started,s_2.started,s_3.started,fix_2.started,main_sa.stopped,mouse_resp_4.x,mouse_resp_4.y,mouse_resp_4.leftButton,mouse_resp_4.midButton,mouse_resp_4.rightButton,mouse_resp_4.time,mouse_resp_4.corr,mouse_resp_4.clicked_name,find_3.started,text_4.started,key_resp_4.started,find_image__.started,find_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,baseline_ca.started,clear_anger.started,n_7.started,n_8.started,n_9.started,n_10.started,n_11.started,n_12.started,mouse_resp_3.started,fix_3.started,baseline_ca.stopped,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.corr,mouse_resp_3.clicked_name,main_ca.started,clear_anger_main.started,mouse_resp_5.started,d_4.started,d_5.started,d_6.started,s_4.started,s_5.started,s_6.started,fix_4.started,main_ca.stopped,mouse_resp_5.x,mouse_resp_5.y,mouse_resp_5.leftButton,mouse_resp_5.midButton,mouse_resp_5.rightButton,mouse_resp_5.time,mouse_resp_5.corr,mouse_resp_5.clicked_name,thank_you.started,thanks.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0037198999780230224,0.014784300001338124,0.014784300001338124,20.95441770000616,space,20.924667400016915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
,,,,,,,,,,,,,,,,,20.954486400005408,21.023194100009277,21.023194100009277,21.023194100009277,34.251127999974415,space,13.2237887000083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
0,0,0,0,,,,,34.3761220999877,,,,,,,,,,,,,,,,,34.25405079999473,34.3761220999877,34.3761220999877,34.3761220999877,34.3761220999877,34.3761220999877,34.3761220999877,34.3761220999877,0.003974699997343123,34.3761220999877,36.33374739997089,[0.21484375],[-0.2265625],[1],[0],[0],[2.077479300030973],[1],['subtle_anger'],36.33927459997358,36.56585419998737,0.0009530999814160168,36.56585419998737,36.56585419998737,36.56585419998737,36.56585419998737,36.56585419998737,36.56585419998737,36.56585419998737,38.2977715000161,[-0.4322916666666667],[0.421875],[1],[0],[0],[1.9566545999841765],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
1,0,1,0,,,,,38.314772000012454,,,,,,,,,,,,,,,,,38.30218150001019,38.314772000012454,38.314772000012454,38.314772000012454,38.314772000012454,38.314772000012454,38.314772000012454,38.314772000012454,0.0013978999922983348,38.314772000012454,40.16083169996273,[-0.16536458333333334],[-0.21484375],[1],[0],[0],[1.8568452000035904],[1],['subtle_anger'],40.16226289997576,40.17499480000697,0.0006919000297784805,40.17499480000697,40.17499480000697,40.17499480000697,40.17499480000697,40.17499480000697,40.17499480000697,40.17499480000697,42.4575914000161,[0.3450520833333333],[0.19921875],[1],[0],[0],[2.2939047000254504],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
2,0,2,0,,,,,42.47232509998139,,,,,,,,,,,,,,,,,42.45965490001254,42.47232509998139,42.47232509998139,42.47232509998139,42.47232509998139,42.47232509998139,42.47232509998139,42.47232509998139,0.0012165000080130994,42.47232509998139,44.127757199981716,[0.16927083333333334],[-0.4856770833333333],[1],[0],[0],[1.6658611000166275],[1],['subtle_anger'],44.13078860001406,44.14955789997475,0.001449699979275465,44.14955789997475,44.14955789997475,44.14955789997475,44.14955789997475,44.14955789997475,44.14955789997475,44.14955789997475,45.72285499999998,[0.3645833333333333],[0.1484375],[1],[0],[0],[1.58973629999673],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
3,0,3,0,,,,,45.74047459999565,,,,,,,,,,,,,,,,,45.72625359997619,45.74047459999565,45.74047459999565,45.74047459999565,45.74047459999565,45.74047459999565,45.74047459999565,45.74047459999565,0.0018390999757684767,45.74047459999565,47.93575989996316,[-0.43359375],[-0.20052083333333334],[1],[0],[0],[2.2074419999844395],[1],['subtle_anger'],47.93756729998859,47.952035399968736,0.00085350003791973,47.952035399968736,47.952035399968736,47.952035399968736,47.952035399968736,47.952035399968736,47.952035399968736,47.952035399968736,50.28316170000471,[-0.3515625],[0.10026041666666667],[1],[0],[0],[2.344094200001564],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
4,0,4,0,,,,,50.29833399999188,,,,,,,,,,,,,,,,,50.284880799998064,50.29833399999188,50.29833399999188,50.29833399999188,50.29833399999188,50.29833399999188,50.29833399999188,50.29833399999188,0.0010270000202581286,50.29833399999188,52.09940339997411,[0.3333333333333333],[0.3424479166666667],[1],[0],[0],[1.8130629999795929],[1],['subtle_anger'],52.10133540001698,52.11289119999856,0.0008926999871619046,52.11289119999856,52.11289119999856,52.11289119999856,52.11289119999856,52.11289119999856,52.11289119999856,52.11289119999856,54.629719299962744,[-0.25],[0.3268229166666667],[1],[0],[0],[2.526721699978225],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
5,0,5,0,,,,,54.644274799968116,,,,,,,,,,,,,,,,,54.63226019998547,54.644274799968116,54.644274799968116,54.644274799968116,54.644274799968116,54.644274799968116,54.644274799968116,54.644274799968116,0.0013381000026129186,54.644274799968116,56.56171290000202,[0.045572916666666664],[0.3541666666666667],[1],[0],[0],[1.9278989000013098],[1],['subtle_anger'],56.56320319999941,56.57551120000426,0.0006188999977894127,56.57551120000426,56.57551120000426,56.57551120000426,56.57551120000426,56.57551120000426,56.57551120000426,56.57551120000426,58.2101638999884,[0.045572916666666664],[0.3541666666666667],[1],[0],[0],[1.645662299997639],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
6,0,6,0,,,,,58.22330939996755,,,,,,,,,,,,,,,,,58.212147400015965,58.22330939996755,58.22330939996755,58.22330939996755,58.22330939996755,58.22330939996755,58.22330939996755,58.22330939996755,0.0009385000448673964,58.22330939996755,60.374100799963344,[-0.08072916666666667],[0.21223958333333334],[1],[0],[0],[2.1605501999729313],[1],['subtle_anger'],60.375844899972435,60.38764099997934,0.0007161000394262373,60.38764099997934,60.38764099997934,60.38764099997934,60.38764099997934,60.38764099997934,60.38764099997934,60.38764099997934,62.876204299973324,[0.13671875],[-0.1328125],[1],[0],[0],[2.498470399994403],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
7,0,7,0,,,,,62.89401509996969,,,,,,,,,,,,,,,,,62.87962459999835,62.89401509996969,62.89401509996969,62.89401509996969,62.89401509996969,62.89401509996969,62.89401509996969,62.89401509996969,0.0019119000062346458,62.89401509996969,64.95279189996654,[0.22005208333333334],[0.22916666666666666],[1],[0],[0],[2.070978700008709],[1],['subtle_anger'],64.95554120000452,64.97191510000266,0.0013040000339969993,64.97191510000266,64.97191510000266,64.97191510000266,64.97191510000266,64.97191510000266,64.97191510000266,64.97191510000266,66.81827589997556,[-0.045572916666666664],[-0.13671875],[1],[0],[0],[1.8605314000160433],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
8,0,8,0,,,,,66.83313179999823,,,,,,,,,,,,,,,,,66.82100220001303,66.83313179999823,66.83313179999823,66.83313179999823,66.83313179999823,66.83313179999823,66.83313179999823,66.83313179999823,0.0014121999847702682,66.83313179999823,70.66515660000732,[0.4322916666666667],[0.10677083333333333],[1],[0],[0],[3.8423720999853685],[1],['subtle_anger'],70.66703219996998,70.67894359998172,0.0008459999808110297,70.67894359998172,70.67894359998172,70.67894359998172,70.67894359998172,70.67894359998172,70.67894359998172,70.67894359998172,72.39905369997723,[0.140625],[-0.1171875],[1],[0],[0],[1.7298301000264473],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
9,0,9,0,,,,,72.41810329997679,,,,,,,,,,,,,,,,,72.40293380001094,72.41810329997679,72.41810329997679,72.41810329997679,72.41810329997679,72.41810329997679,72.41810329997679,72.41810329997679,0.0019527999684214592,72.41810329997679,74.89345329999924,[0.0013020833333333333],[0.3828125],[1],[0],[0],[2.488076400011778],[1],['subtle_anger'],74.89590359997237,74.9084659999935,0.0009488000068813562,74.9084659999935,74.9084659999935,74.9084659999935,74.9084659999935,74.9084659999935,74.9084659999935,74.9084659999935,76.97408750001341,[0.12760416666666666],[-0.23177083333333334],[1],[0],[0],[2.07642640004633],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
10,0,10,0,,,,,76.98836550000124,,,,,,,,,,,,,,,,,76.9761262999964,76.98836550000124,76.98836550000124,76.98836550000124,76.98836550000124,76.98836550000124,76.98836550000124,76.98836550000124,0.001125300012063235,76.98836550000124,78.59232049999991,[0.31640625],[0.06770833333333333],[1],[0],[0],[1.6143112000427209],[1],['subtle_anger'],78.59476090001408,78.60679719998734,0.0010451999842189252,78.60679719998734,78.60679719998734,78.60679719998734,78.60679719998734,78.60679719998734,78.60679719998734,78.60679719998734,80.5214527999633,[-0.4244791666666667],[-0.06640625],[1],[0],[0],[1.9249302999814972],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
11,0,11,0,,,,,80.53498980001314,,,,,,,,,,,,,,,,,80.5236493999837,80.53498980001314,80.53498980001314,80.53498980001314,80.53498980001314,80.53498980001314,80.53498980001314,80.53498980001314,0.0010246000019833446,80.53498980001314,82.50175279995892,[0.2903645833333333],[0.3463541666666667],[1],[0],[0],[1.9766451999894343],[1],['subtle_anger'],82.50335469999118,82.51653919997625,0.0006405999884009361,82.51653919997625,82.51653919997625,82.51653919997625,82.51653919997625,82.51653919997625,82.51653919997625,82.51653919997625,84.03466479998315,[-0.140625],[-0.22005208333333334],[1],[0],[0],[1.5299298000172712],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
12,0,12,0,,,,,84.04867250000825,,,,,,,,,,,,,,,,,84.03694419999374,84.04867250000825,84.04867250000825,84.04867250000825,84.04867250000825,84.04867250000825,84.04867250000825,84.04867250000825,0.0014417000347748399,84.04867250000825,86.28187409997918,[0.09244791666666667],[-0.024739583333333332],[1],[0],[0],[2.2433173999888822],[1],['subtle_anger'],86.2835184999858,86.29639520001365,0.0008071000338532031,86.29639520001365,86.29639520001365,86.29639520001365,86.29639520001365,86.29639520001365,86.29639520001365,86.29639520001365,88.87865749996854,[-0.390625],[-0.265625],[1],[0],[0],[2.5936561000416987],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
13,0,13,0,,,,,88.89314689999446,,,,,,,,,,,,,,,,,88.88060309999855,88.89314689999446,88.89314689999446,88.89314689999446,88.89314689999446,88.89314689999446,88.89314689999446,88.89314689999446,0.0010374999837949872,88.89314689999446,90.82676909997826,[-0.22786458333333334],[-0.421875],[1],[0],[0],[1.9448281000368297],[1],['subtle_anger'],90.82814659998985,90.84191269997973,0.0006710999878123403,90.84191269997973,90.84191269997973,90.84191269997973,90.84191269997973,90.84191269997973,90.84191269997973,90.84191269997973,93.0422543999739,[0.13541666666666666],[0.14192708333333334],[1],[0],[0],[2.2127359999576584],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
14,0,14,0,,,,,93.05653800000437,,,,,,,,,,,,,,,,,93.04478799999924,93.05653800000437,93.05653800000437,93.05653800000437,93.05653800000437,93.05653800000437,93.05653800000437,93.05653800000437,0.001548499974887818,93.05653800000437,95.07303799997317,[0.125],[0.12109375],[1],[0],[0],[2.026444199960679],[1],['subtle_anger'],95.07477569999173,95.08791709999787,0.0007713999948464334,95.08791709999787,95.08791709999787,95.08791709999787,95.08791709999787,95.08791709999787,95.08791709999787,95.08791709999787,98.93622410000535,[-0.33203125],[-0.171875],[1],[0],[0],[3.859746499976609],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
15,0,15,0,,,,,98.95475889998488,,,,,,,,,,,,,,,,,98.93957149999915,98.95475889998488,98.95475889998488,98.95475889998488,98.95475889998488,98.95475889998488,98.95475889998488,98.95475889998488,0.0022136999759823084,98.95475889998488,100.83422189997509,[0.3046875],[0.49609375],[1],[0],[0],[1.8923139999969862],[1],['subtle_anger'],100.83572219999041,100.84797900001286,0.0006427000043913722,100.84797900001286,100.84797900001286,100.84797900001286,100.84797900001286,100.84797900001286,100.84797900001286,100.84797900001286,103.0817393999896,[-0.006510416666666667],[-0.3841145833333333],[1],[0],[0],[2.2448137999745086],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
16,0,16,0,,,,,103.09613989997888,,,,,,,,,,,,,,,,,103.08347640000284,103.09613989997888,103.09613989997888,103.09613989997888,103.09613989997888,103.09613989997888,103.09613989997888,103.09613989997888,0.0010564999538473785,103.09613989997888,105.19590900000185,[0.24609375],[-0.3072916666666667],[1],[0],[0],[2.110941199993249],[1],['subtle_anger'],105.19760509999469,105.2110384000116,0.0007613999769091606,105.2110384000116,105.2110384000116,105.2110384000116,105.2110384000116,105.2110384000116,105.2110384000116,105.2110384000116,108.41037619998679,[-0.4296875],[0.4466145833333333],[1],[0],[0],[3.2112364000058733],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
17,0,17,0,,,,,108.42441539996071,,,,,,,,,,,,,,,,,108.41249610000523,108.42441539996071,108.42441539996071,108.42441539996071,108.42441539996071,108.42441539996071,108.42441539996071,108.42441539996071,0.0011814999743364751,108.42441539996071,109.94210889999522,[-0.3151041666666667],[0.4127604166666667],[1],[0],[0],[1.5279768999898806],[1],['subtle_anger'],109.94395069999155,109.9562988000107,0.0007619000389240682,109.9562988000107,109.9562988000107,109.9562988000107,109.9562988000107,109.9562988000107,109.9562988000107,109.9562988000107,111.62420019996352,[-0.15104166666666666],[-0.24869791666666666],[1],[0],[0],[1.6786175000015646],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
18,0,18,0,,,,,111.63900959998136,,,,,,,,,,,,,,,,,111.62675279995892,111.63900959998136,111.63900959998136,111.63900959998136,111.63900959998136,111.63900959998136,111.63900959998136,111.63900959998136,0.0015579999890178442,111.63900959998136,114.48713209998095,[-0.40234375],[0.0013020833333333333],[1],[0],[0],[2.8585348000051454],[1],['subtle_anger'],114.48880779999308,114.5020301999757,0.0007039000047370791,114.5020301999757,114.5020301999757,114.5020301999757,114.5020301999757,114.5020301999757,114.5020301999757,114.5020301999757,116.31947519996902,[0.5364583333333334],[0.2994791666666667],[1],[0],[0],[1.8292455000337213],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
19,0,19,0,,,,,116.33332569996128,,,,,,,,,,,,,,,,,116.32149750000099,116.33332569996128,116.33332569996128,116.33332569996128,116.33332569996128,116.33332569996128,116.33332569996128,116.33332569996128,0.001140100008342415,116.33332569996128,119.31727539998246,[0.375],[0.10546875],[1],[0],[0],[2.9941389999585226],[1],['subtle_anger'],119.31907540000975,119.33059679996222,0.000887200003489852,119.33059679996222,119.33059679996222,119.33059679996222,119.33059679996222,119.33059679996222,119.33059679996222,119.33059679996222,121.76517199998489,[0.4869791666666667],[0.4114583333333333],[1],[0],[0],[2.4442449000198394],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
20,0,20,0,,,,,121.7817491000169,,,,,,,,,,,,,,,,,121.76885359996231,121.7817491000169,121.7817491000169,121.7817491000169,121.7817491000169,121.7817491000169,121.7817491000169,121.7817491000169,0.0018751000170595944,121.7817491000169,123.39536909997696,[0.4348958333333333],[0.08723958333333333],[1],[0],[0],[1.6245276000117883],[1],['subtle_anger'],123.39715919998707,123.40979499998502,0.0007504000095650554,123.40979499998502,123.40979499998502,123.40979499998502,123.40979499998502,123.40979499998502,123.40979499998502,123.40979499998502,126.67538779997267,[-0.3151041666666667],[-0.14453125],[1],[0],[0],[3.2768257000134327],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
21,0,21,0,,,,,126.69006230001105,,,,,,,,,,,,,,,,,126.6773511999636,126.69006230001105,126.69006230001105,126.69006230001105,126.69006230001105,126.69006230001105,126.69006230001105,126.69006230001105,0.00107559998286888,126.69006230001105,128.8241440000129,[0.5208333333333334],[-0.2786458333333333],[1],[0],[0],[2.1452508000074886],[1],['subtle_anger'],128.82586069998797,128.83741779997945,0.0008431000169366598,128.83741779997945,128.83741779997945,128.83741779997945,128.83741779997945,128.83741779997945,128.83741779997945,128.83741779997945,130.48880449996796,[0.07291666666666667],[-0.17317708333333334],[1],[0],[0],[1.6612458000308834],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
22,0,22,0,,,,,130.50387580000097,,,,,,,,,,,,,,,,,130.49173349997727,130.50387580000097,130.50387580000097,130.50387580000097,130.50387580000097,130.50387580000097,130.50387580000097,130.50387580000097,0.001521300000604242,130.50387580000097,132.37057119997917,[-0.09895833333333333],[-0.22916666666666666],[1],[0],[0],[1.8769523000228219],[1],['subtle_anger'],132.3722323999973,132.38404129998526,0.0007845000363886356,132.38404129998526,132.38404129998526,132.38404129998526,132.38404129998526,132.38404129998526,132.38404129998526,132.38404129998526,134.83353880001232,[-0.4322916666666667],[-0.07682291666666667],[1],[0],[0],[2.4599909000098705],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
23,0,23,0,,,,,134.84845789999235,,,,,,,,,,,,,,,,,134.83490889996756,134.84845789999235,134.84845789999235,134.84845789999235,134.84845789999235,134.84845789999235,134.84845789999235,134.84845789999235,0.000784300034865737,134.84845789999235,136.7330430999864,[0.26953125],[-0.375],[1],[0],[0],[1.8967813000199385],[1],['subtle_anger'],136.73519949999172,136.7472875000094,0.0010171000030823052,136.7472875000094,136.7472875000094,136.7472875000094,136.7472875000094,136.7472875000094,136.7472875000094,136.7472875000094,140.14517999999225,[-0.013020833333333334],[-0.11197916666666667],[1],[0],[0],[3.408164200023748],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
24,0,24,0,,,,,140.16044359997613,,,,,,,,,,,,,,,,,140.14800679998007,140.16044359997613,140.16044359997613,140.16044359997613,140.16044359997613,140.16044359997613,140.16044359997613,140.16044359997613,0.0010926999966613948,140.16044359997613,141.9622970999917,[-0.3606770833333333],[-0.032552083333333336],[1],[0],[0],[1.8126804999774322],[1],['subtle_anger'],141.9641391999903,141.97543900000164,0.0008495000074617565,141.97543900000164,141.97543900000164,141.97543900000164,141.97543900000164,141.97543900000164,141.97543900000164,141.97543900000164,144.3415021999972,[0.4895833333333333],[-0.109375],[1],[0],[0],[2.3756415999960154],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
25,0,25,0,,,,,144.35617909999564,,,,,,,,,,,,,,,,,144.34325819998048,144.35617909999564,144.35617909999564,144.35617909999564,144.35617909999564,144.35617909999564,144.35617909999564,144.35617909999564,0.0009168999968096614,144.35617909999564,146.10638780001318,[-0.28125],[0.32421875],[1],[0],[0],[1.7618939999956638],[1],['subtle_anger'],146.10797419998562,146.1206674000132,0.0007541000377386808,146.1206674000132,146.1206674000132,146.1206674000132,146.1206674000132,146.1206674000132,146.1206674000132,146.1206674000132,147.8887226000079,[-0.47265625],[-0.16796875],[1],[0],[0],[1.7793286999803968],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
26,0,26,0,,,,,147.90206519997446,,,,,,,,,,,,,,,,,147.89065720001236,147.90206519997446,147.90206519997446,147.90206519997446,147.90206519997446,147.90206519997446,147.90206519997446,147.90206519997446,0.0011071999906562269,147.90206519997446,149.62003230000846,[0.026041666666666668],[0.3489583333333333],[1],[0],[0],[1.7279882000293583],[1],['subtle_anger'],149.62160439998843,149.63404420000734,0.0008354000165127218,149.63404420000734,149.63404420000734,149.63404420000734,149.63404420000734,149.63404420000734,149.63404420000734,149.63404420000734,152.56635949999327,[-0.15625],[0.2669270833333333],[1],[0],[0],[2.943202599999495],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06D,001,2024-12-03_20h30.18.025,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h30.36.527776 +0530,
